ESTACIÓN,CÓDIGO,X=N,Y=E,MUNICIPIO,CUENCA,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
Acandy,2120141,1051680,1019820,Nemocón,R. Checua,1993,17.0,11.0,57.0,104.0,163.0,67.0,95.0,35.0,76.0,32.0,67.0,19.0
Novilleros,2401519,1080650,1032380,Ubaté,R. Ubaté,1985,33.7,1.0,52.7,95.1,79.3,32.2,20.2,25.3,95.8,170.1,86.9,31.8
El Bosque,2120085,986200,995560,Santafe de Bogotá,R. Tunjuelo,1993,14.1,4.4,22.4,86.3,59.2,178.0,109.6,94.4,73.0,57.5,352.3,18.5
La Esperanza,2120647,1012750,961000,La Mesa,R. Apulo,1997,190.1,39.7,88.1,149.4,116.6,67.5,8.5,15.5,71.5,165.7,116.6,140.2
Negrete,2306308,991879,1055051,Pacho,Rionegro,2011,141.6,242.5,269.7,456.9,283.3,95.3,0.0,77.4,65.2,280.5,396.3,289.8
Potrerito,3509505,1097510,1125520,Aquitania,Lag. Tota,1991,8.0,6.0,109.2,77.3,116.2,93.8,108.4,131.8,81.9,96.6,62.2,24.4
Pozo Azul,2120181,969200,917550,Girardot,R. Bogotá,1993,137.9,87.9,81.6,323.9,50.5,10.6,0.0,22.0,94.6,127.2,200.1,152.1
Hato El Hda,2401536,1076689,1019172,Carmen de Carupa,R. Suárez,2002,15.2,13.8,76.0,77.0,61.2,41.8,11.0,23.0,4.6,30.6,0.0,0.0
El Charquito,2120175,993950,977900,Soacha,R. Balsillas,1990,11.6,47.0,27.0,144.6,93.8,32.6,24.2,24.0,38.8,107.4,84.5,0.0
El Hato No. 3,2401054,1072825,1014162,Carmen de Carupa,R. El Hato,1986,31.0,72.0,59.0,80.0,59.0,84.0,102.0,58.0,110.0,183.0,0.0,0.0
Tapias,2401028,1077715,1040005,Lenguazaque,R. Lenguazaque,1985,14.9,52.1,67.6,90.2,110.9,54.0,26.9,49.9,159.8,148.7,72.0,45.1
Alto de Aire,2120168,1065500,1028300,Cucunuba,R. Checua,2015,16.0,15.7,66.0,41.0,36.3,131.5,57.8,49.7,9.7,14.1,80.9,16.7
